PART LIST MONTAGEM DUO AUDIO HMI PROTOTYPE 1;;;
18pF_NP0;2;C23 C24;SM0603
100nF_MF;3;C46 C47 CAP18;CAP_FILM_12.6X4.5_L10
100nF_MKP;3;C28 C29 C31;CAP_FILM_18X5_L15
100nF_X7R;30;C1 C2 C3 C4 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20 C21 C22 C25 C26 C34 C35 C37 C38 C41 C42 C44 C45;SM0603
100uF;8;C5 C6 C32 C33 C36 C39 C40 C43;CAP_RAD_5MM
470uF;6;C30 CAP1 CAP2 CAP4 CAP15 CAP16;CAP_RAD_8MM
1000uF;1;C27;CAP_RAD_10MM
100nF;16;CAP3 CAP6 CAP7 CAP9 CAP10 CAP11 CAP12 CAP13 CAP14 CAP17 CAS1 CAS4 CAS9 CAS10 CAS11 CAS12;SM0603
10uF;6;CAP5 CAP8 CAS3 CAS7 CAS13 CAS15;CAP_RAD_5MM
4.7mF;2;CAP19 CAP20;CAP_RAD_16MM
200pF;2;CAS6 CAS14;SM0603
2.2nF;4;CAS8 CAS16 CAS19 CAS20;SM0603
10nF;2;CAS2 CAS5;SM0603
3.3uF;2;CAS17 CAS18;CAP_RAD_5MM
B130LB;1;D3;DO-214AA(SMB)
1N4007;2;D4 D5;DO-214AC(SMA)
1N4447;4;D2 D6 D7 D8;DO-35
1N4148;1;D1;SOD323
BAT854SW;2;D9 D10;SOT323
ENCODER;2;ENC1 ENC2;ENCODER_PEC11_4KS1
PTC_2A;1;F1;SM2920
FB_1kOHM400mA;2;FB1 FB2;SM0805
FB_1kOHM400mA;1;FB3;SM0805
CONN_1;34;GND1 GND3 GND4 GND5 GND6 GND7 GND8 GND9 GND11 GND12 GND13 GND14 GND15 GND16 GNDA1 GNDA2 GNDA3 GNDA4 GNDA5 GNDA6 GNDA7 GNDA8 GNDA9 GNDA10 GNDA11 GNDA12 GNDA13 GNDA14 GNDA15 GNDA16 GNDA17 GNDA18 GNDA19 GNDA20;PAD_GND
JACK_P10_TRS_6P;4;J1 J2 J3 J4;JACK-NMJ6HCD2_1
HEADER_3X2;1;JP2;PIN_ARRAY_3X2
HEADER_4X2;2;JP1 JP3;PIN_ARRAY_4X2
IM03TS;2;K1 K2;IM03TS
220uH_1.1A_290mR;1;L1;IND_RAD_10MM_4P
500mH_50mA;1;L2;IND_RAD_10MM_4P
LCD;2;LCD1 LCD2;LCD-AGM-12864E1-201_1
LED_RGB;2;LED1 LED2;LED_CLRTB_GFSF_1
LED_SMD;1;LED3;SM0805
KK3.96_2PIN;1;P3;KK3.96_2PIN
HEADER_10X2;1;P2;PIN_ARRAY_2X10
HEADER_4X1;1;P1;PIN_ARRAY_4x1
HEADER_8X2;1;P4;pin_array_8x2
BC847;3;Q1 Q2 Q3;SOT23
BS870;10;Q4 Q5 Q6 Q7 Q8 Q9 Q10 Q11 Q12 Q13;SOT23
J113;5;QA1 QA2 QA3 QA4 QA5;TO92_
0R;8;R14 R16 R34 R58 R59 R69 R70 R71;SM0805
10R;2;R60 R61;SM0805
100R;7;R72 RAS4 RAS20 RAS24 RAS40 RAS49 RAS50;RES_PTH_6MM
100R;7;R51 R52 R53 R54 R55 R56 R57;SM0603
100R;2;R62 R68;SM0805
330R;2;R10 R12;SM0603
1k;18;R7 R8 R18 R19 R20 R26 R27 R28 R31 R48 R77 R78 R79 R80 R81 R82 R83 R84;SM0603
3k;2;R9 R11;SM0603
10k;43;R1 R2 R3 R4 R5 R6 R13 R15 R17 R21 R22 R23 R24 R25 R29 R30 R32 R33 R35 R36 R37 R38 R39 R40 R41 R42 R43 R44 R45 R46 R47 R49 R50 R63 R65 R66 R67 R73 R74 RAS9 RAS35 RAS36 RAS41;SM0603
33k;3;R64 R75 R76;SM0603
50R;2;RAS10 RAS21;RES_PTH_6MM
150R;2;RAS43 RAS44;RES_PTH_6MM
300R;2;RAS45 RAS46;RES_PTH_6MM
500R;4;RAS18 RAS19 RAS37 RAS38;RES_PTH_6MM
1k;2;RAS47 RAS48;RES_PTH_6MM
3k;2;RAS11 RAS33;RES_PTH_6MM
10k;12;RAS8 RAS14 RAS16 RAS25 RAS26 RAS27 RAS28 RAS29 RAS30 RAS31 RAS32 RAS34;RES_PTH_6MM
15k;2;RAS22 RAS39;RES_PTH_6MM
25k;2;RAS3 RAS15;RES_PTH_6MM
50k;6;RAS1 RAS2 RAS6 RAS12 RAS13 RAS17;RES_PTH_6MM
1M;4;RAS5 RAS7 RAS23 RAS42;RES_PTH_6MM
NTC;1;RT1;SM0805
SW_TACTILE_6X6_4PIN;1;SW1;TACTILE_SWITCH_6x6
CONN_1;7;TP1 TP2 TP3 TP4 TP5 TP6 TP7;SIL-1
CUBIEBOARD2;1;U12;CUBIEBOARD2
MC78M05;1;U9;DPAK(369C)
MC7805;1;U10;DPAK(369C)
NCP1117DT33G;1;U11;DPAK(369C)
LPC175XFBD80;1;U1;LQFP80
ISL83485;1;U8;SO8E
TLV803;1;U6;SOT23
74LVC1G125;1;U7;SOT353
74HC245;4;U2 U3 U4 U5;TSSOP20
74LVC4066;2;UA3 UA5;SO14E
LM4562;4;UA1 UA2 UA4 UA13;SO8E
10MHz;1;X1;HC_49US
