18pF_NP0;2;"C38 C39";SM0603
100nF_MF;3;"C44 CAP2 CAP5";CAP_FILM_12.6X4.5_L10
100nF_X7R;29;"C8 C12 C20 C24 C25 C26 C27 C28 C29 C30 C31 C32 C33 C34 C35 C36 C37 C40 C41 C42 C47 C48 C50 C51 C53 C55 CAP25 CAP31 CAP34";SM0603
1uF_X7R;18;"C1 C2 C3 C4 C5 C7 C9 C10 C11 C13 C14 C15 C16 C17 C19 C21 C22 C23";SM0603
100uF;7;"C6 C18 C45 C46 C49 C52 C54";CAP_RAD_5MM
470uF;6;"C43 CAP6 CAP7 CAP8 CAP10 CAP12";CAP_RAD_8MM
100nF_MF_S;30;"CAP9 CAP11 CAP13 CAP15 CAP16 CAP18 CAP19 CAP20 CAP21 CAP22 CAP24 CAP27 CAP28 CAP35 CAS3 CAS4 CAS9 CAS10 CAS17 CAS18 CAS19 CAS20 CAS21 CAS22 CAS23 CAS24 CAS39 CAS41 CAS43 CAS45";CAP_FILM_100NF_MF_S
10uF;23;"CAP14 CAP17 CAP23 CAP26 CAP29 CAP30 CAP32 CAP33 CAS5 CAS6 CAS13 CAS14 CAS29 CAS30 CAS31 CAS32 CAS33 CAS34 CAS35 CAS38 CAS40 CAS42 CAS44";CAP_RAD_5MM
1000uF;1;"CAP1";CAP_RAD_10MM
4700uF;2;"CAP3 CAP4";CAP_RAD_16MM
470pF_MF;10;"CAS1 CAS2 CAS7 CAS8 CAS11 CAS12 CAS25 CAS26 CAS27 CAS28";CAP_FILM_100NF_MF_S
2.2nF_MF;4;"CAS15 CAS16 CAS36 CAS37";CAP_FILM_100NF_MF_S
B130LB;2;"D3 D4";DO-214AA(SMB)
1N4007;2;"D15 D16";DO-214AC(SMA)
1N4447;8;"D7 D8 D9 D10 D11 D12 D13 D14";DO-35
1N4148;2;"D1 D2";SOD323
BAS70-04;4;"D5 D6 D17 D18";SOT23
ENCODER;2;"ENC1 ENC2";ENCODER_PEC11_4KS1
PTC_2A;2;"F1 F2";SM2920
FB_1kOHM400mA;2;"FB1 FB2";SM0805
FB_1kOHM400mA;1;"FB3";SM0805
CONN_1;1;"GND1";
CONN_1;16;"GNDA1 GNDA2 GNDA3 GNDA4 GNDA5 GNDA6 GNDA7 GNDA8 GNDA9 GNDA10 GNDA11 GNDA12 GNDA13 GNDA14 GNDA15 GNDA16";PAD_GND
JACK_P10_TRS_6P;5;"J1 J2 J3 J4 J5";JACK-NMJ6HCD2_1
HEADER_3X2;1;"JP1";PIN_ARRAY_3X2
IMC03TS;2;"K1 K2";IM03TS
220uH_1.1A_290mR;1;"L1";IND_RAD_10MM_4P
ZIF_30_PIN;2;"LCD1 LCD2";
LED_RGB;2;"LED1 LED2";LED_CLRTB_GFSF_1
LED_SMD;1;"LED3";SM0805
CONN_2_SMD_BACKLIGHT;2;"P1 P2";
HEADER_10X2_P0.05;1;"P4";
KK3.96_2PIN;1;"P5";KK3.96_2PIN
HEADER_4X1;1;"P3";PIN_ARRAY_4x1
HEADER_8X2;1;"P6";pin_array_8x2
BC847;2;"Q1 Q2";SOT23
BS870;11;"Q3 Q4 Q5 QA11 QA12 QA13 QA14 QA15 QA16 QA17 QA18";SOT23
J113;10;"QA1 QA2 QA3 QA4 QA5 QA6 QA7 QA8 QA9 QA10";TO92_
0R;4;"R42 R43 R44 R45";SM0805
10R;2;"R26 R27";SM0805
100R;13;"R28 R29 R30 R32 R33 R34 R35 R40 R41 R76 R77 RAD6 RAD7";SM0603
200R;1;"R31";SM0603
1k;30;"R2 R3 R4 R6 R7 R8 R17 R23 R51 R52 R53 R64 R65 R66 R67 R68 R69 R70 R71 R72 R73 R74 R75 R79 R80 RAD2 RAD10 RAD11 RAD12 RAD13";SM0603
5k;1;"R81";SM0603
10k;41;"R1 R5 R9 R10 R11 R12 R13 R14 R15 R16 R18 R19 R20 R21 R22 R24 R25 R36 R38 R46 R47 R48 R50 R54 R55 R56 R57 R58 R59 R60 R61 R62 R63 R78 R82 RAD1 RAD3 RAD4 RAD5 RAD8 RAD9";SM0603
33k;5;"R37 R39 R83 R84 R85";SM0603
NC;1;"R49";SM0603
50R;2;"RAS13 RAS28";RES_PTH_6MM
100R;8;"RAS4 RAS5 RAS19 RAS21 RAS51 RAS52 RAS53 RAS54";RES_PTH_6MM
150R;4;"RAS47 RAS48 RAS49 RAS50";RES_PTH_6MM
500R;6;"RAS20 RAS22 RAS24 RAS25 RAS26 RAS27";RES_PTH_6MM
3k;2;"RAS14 RAS15";RES_PTH_6MM
10k;16;"RAS31 RAS32 RAS33 RAS34 RAS35 RAS36 RAS37 RAS38 RAS39 RAS40 RAS41 RAS42 RAS43 RAS44 RAS45 RAS46";RES_PTH_6MM
15k;2;"RAS29 RAS30";RES_PTH_6MM
25k;2;"RAS3 RAS18";RES_PTH_6MM
50k;6;"RAS1 RAS2 RAS8 RAS16 RAS17 RAS23";RES_PTH_6MM
75k;4;"RAS10 RAS12 RAS55 RAS56";RES_PTH_6MM
1M;4;"RAS6 RAS7 RAS9 RAS11";RES_PTH_6MM
NTC;1;"RT1";SM0805
CONN_1;6;"TP1 TP2 TP3 TP4 TP5 TP6";SIL-1
A20_ITEAD_CORE;1;"U7";A20_ITEAD
MC7805;1;"U5";DPAK(369C)
NCP1117DT33G;1;"U6";DPAK(369C)
LPC175XFBD80;1;"U1";LQFP80
SN75176BDR;1;"U4";SO8E
TLV803;1;"U2";SOT23
74LVC1G125;1;"U3";SOT353
LK112M33;1;"UA2";
LM4811;1;"UA8";
CS4245;1;"UA9";
MC78M05;1;"UA1";DPAK(369C)
NE5532;2;"UA3 UA7";SO8E
LM4562;3;"UA4 UA5 UA6";SO8E
10MHz;1;"X1";HC_49US
ASV-24.576MHZ-EJ-T;1;"XA1";
