Source:,/home/rafael/devel/mod-hw-duo/Duo_RC1A/Duo_BottomBoard_RC1A.sch
Date:,Wed 16 Jul 2014 18:13:17 BRT
Tool:,eeschema (2014-03-19 BZR 4756)-product
Component Count:,346

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,C1,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C10,100uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,C11,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C12,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C13,100uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,C14,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C15,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C16,100uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,C17,100uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,C18,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C19,100nF_MF,device:C,Duo_Audio_HMI_RC1A:CAP_FILM_12.6X4.5_L10,
,,C2,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C20,470uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor8x13RM3.5,
,,C21,100uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,C22,100uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,C23,100uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,C24,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C25,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C26,100uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,C27,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C28,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C29,100uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,C3,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C4,100uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,C5,100uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,C6,100uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,C8,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,CAP1,100nF_MF,device:C,Duo_Audio_HMI_RC1A:CAP_FILM_12.6X4.5_L10,
,,CAP10,100uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,CAP11,100nF_MF_S,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x2.5MM_P5MM,
,,CAP12,100nF_MF_S,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x2.5MM_P5MM,
,,CAP13,10uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,CAP14,100nF_MF_S,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x2.5MM_P5MM,
,,CAP15,100nF_MF_S,device:C,Duo_Audio_HMI_RC1A:CapacitorMetalFilm_7.2x2.5MM_P5MM,
,,CAP16,10uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
