Source:,/home/rafael/devel/mod-hw-duo/Duo_RC1A/Duo_TopBoard_RC1A.sch
Date:,Thu 04 Sep 2014 11:49:14 BRT
Tool:,eeschema (2014-03-19 BZR 4756)-product
Component Count:,107

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,C1,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C10,2.2uF,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C11,330nF_X7R_25V,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C12,10uF,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C13,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C14,2.2uF,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C15,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C16,2.2uF,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C17,330nF_X7R_25V,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C2,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C27,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C28,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C29,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C3,100uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,C30,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C31,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C32,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C33,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C34,18pF_NP0,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C35,18pF_NP0,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C36,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C37,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C38,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C39,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C40,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C41,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C42,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C43,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C44,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C45,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C5,100uF,device:CP1,Duo_Audio_HMI_RC1A:Capacitor5x11RM2,
,,C6,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C7,10uF,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C8,100nF_X7R,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,C9,2.2uF,device:C,Duo_Audio_HMI_RC1A:SM0603,
,,CN1,CONN_PANNEL_2X2,Duo_Audio_HMI_RC1A:CONN_PANNEL_2X2,Duo_Audio_HMI_RC1A:CONN_PANNEL,
,,CN2,CONN_PANNEL_2X2,Duo_Audio_HMI_RC1A:CONN_PANNEL_2X2,Duo_Audio_HMI_RC1A:CONN_PANNEL,
,,D1,1N4148,device:DIODE,Duo_Audio_HMI_RC1A:SOD323,
,,D2,1N4148,device:DIODE,Duo_Audio_HMI_RC1A:SOD323,
,,ENC1,ENCODER,Duo_Audio_HMI_RC1A:ENCODER,Duo_Audio_HMI_RC1A:ENCODER_PEC11R-4xxxF-Sxxxx,
,,ENC2,ENCODER,Duo_Audio_HMI_RC1A:ENCODER,Duo_Audio_HMI_RC1A:ENCODER_PEC11R-4xxxF-Sxxxx,
,,FB1,FB_1kOHM400mA,Duo_Audio_HMI_RC1A:FERRITE_BEAD,Duo_Audio_HMI_RC1A:SM0805,
,,FB2,FB_1kOHM400mA,Duo_Audio_HMI_RC1A:FERRITE_BEAD,Duo_Audio_HMI_RC1A:SM0805,
,,FB3,FB_1kOHM400mA,Duo_Audio_HMI_RC1A:FERRITE_BEAD,Duo_Audio_HMI_RC1A:SM0805,
,,LCD1,ERC12864-655,Duo_Audio_HMI_RC1A:ERC12864-655,Duo_Audio_HMI_RC1A:ERC12864-655,
,,LCD2,ERC12864-655,Duo_Audio_HMI_RC1A:ERC12864-655,Duo_Audio_HMI_RC1A:ERC12864-655,
,,LED1,LED_RGB,Duo_Audio_HMI_RC1A:LED_RGB,Duo_Audio_HMI_RC1A:LED_CLRTB_GFSF_1,
,,LED2,LED_RGB,Duo_Audio_HMI_RC1A:LED_RGB,Duo_Audio_HMI_RC1A:LED_CLRTB_GFSF_1,
,,LED3,LED_SMD_RED,device:LED,Duo_Audio_HMI_RC1A:SM0805,
,,LED4,LED_SMD_RED,device:LED,Duo_Audio_HMI_RC1A:SM0805,
,,LED5,LED_SMD_RED,device:LED,Duo_Audio_HMI_RC1A:SM0805,
,,LED6,LED_SMD_RED,device:LED,Duo_Audio_HMI_RC1A:SM0805,
,,P1,HEADER_180_2.54_10X2,conn:CONN_10X2,Duo_Audio_HMI_RC1A:Pin_Header_180_2.54_2x10,
,,P2,KK3.96_2,conn:CONN_2,Duo_Audio_HMI_RC1A:KK3.96_2PIN,
,,P3,HEADER_180_2.54_4X1,conn:CONN_4,Duo_Audio_HMI_RC1A:Pin_Header_180_2.54_1x4,
,,P4,HEADER_180_2.54_5X2,conn:CONN_5X2,Duo_Audio_HMI_RC1A:Pin_Header_180_2.54_2x5,
,,Q1,MMBT3904,transistors:BC850,Duo_Audio_HMI_RC1A:SOT23,
,,Q2,MMBT3904,transistors:BC850,Duo_Audio_HMI_RC1A:SOT23,
,,R1,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R10,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R11,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R12,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R13,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R14,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R15,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R16,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R17,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R18,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R19,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R2,47k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R20,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R21,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R22,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R23,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R24,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R25,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R26,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R27,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R28,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R29,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R3,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R30,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R31,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R32,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R33,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R34,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R35,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R36,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R37,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R38,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R39,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R4,47k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R40,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R41,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R42,1M,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R43,1M,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R5,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R6,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R7,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R8,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R9,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,SW1,SW_PUSH,device:SW_PUSH,Duo_Audio_HMI_RC1A:SWITCH_SMD_FSMSM,
