Altium Designer Pick and Place Locations
E:\Clients\MOD Devices GmbH\MOD DUO X-CB\20190118\Project Outputs for mod_x_cb\Pick Place for mod_duo_x_cb(NO_VUSB2).csv

========================================================================================================================
File Design Information:

Date:       15/04/19
Time:       17:38
Revision:   Not in VersionControl
Variant:    NO_VUSB2
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"P5","9774030243R","TopLayer","9774030243R","2353.937","511.575","0","ROUND STANDOFF M2X0.4 STEEL 3MM"
"P4","9774030243R","TopLayer","9774030243R","637.401","511.575","0","ROUND STANDOFF M2X0.4 STEEL 3MM"
"C13","10uF","BottomLayer","CAPC2012N","2700.000","1855.000","90","CAP CER 10UF 10V X7R 0805"
"C19","0.1uF","BottomLayer","CAPC1005N","2635.827","1853.346","90","CAP CER 0.1UF 50V X7R 0402"
"C11","0.1uF","BottomLayer","CAPC1005N","2423.228","1853.346","90","CAP CER 0.1UF 50V X7R 0402"
"C10","0.1uF","BottomLayer","CAPC1005N","2210.630","1853.346","90","CAP CER 0.1UF 50V X7R 0402"
"C9","0.1uF","BottomLayer","CAPC1005N","1998.032","1853.346","90","CAP CER 0.1UF 50V X7R 0402"
"C8","0.1uF","BottomLayer","CAPC1005N","1738.189","1853.346","90","CAP CER 0.1UF 50V X7R 0402"
"C7","0.1uF","BottomLayer","CAPC1005N","1525.591","1853.346","90","CAP CER 0.1UF 50V X7R 0402"
"C6","0.1uF","BottomLayer","CAPC1005N","1312.992","1853.346","90","CAP CER 0.1UF 50V X7R 0402"
"C14","10uF","BottomLayer","CAPC2012N","1378.622","1853.346","90","CAP CER 10UF 10V X7R 0805"
"C5","0.1uF","BottomLayer","CAPC1005N","1100.394","1853.346","90","CAP CER 0.1UF 50V X7R 0402"
"C4","0.1uF","BottomLayer","CAPC1005N","887.795","1853.346","90","CAP CER 0.1UF 50V X7R 0402"
"C3","0.1uF","BottomLayer","CAPC1005N","675.197","1853.346","90","CAP CER 0.1UF 50V X7R 0402"
"C2","0.1uF","BottomLayer","CAPC1005N","462.598","1853.937","90","CAP CER 0.1UF 50V X7R 0402"
"R5","100K","TopLayer","RESC1005N","533.465","1852.716","270","RES SMD 100K OHM 1% 1/16W 0402"
"U1","TPS62825","BottomLayer","DMQ0006A","2576.031","2560.000","360","IC STEP DOWN CONV 1-5V 2A QFN"
"R3","100K","BottomLayer","RESC1005N","2395.000","2603.622","270","RES SMD 100K OHM 1% 1/16W 0402"
"R2","100K","BottomLayer","RESC1005N","2420.000","2530.000","360","RES SMD 100K OHM 1% 1/16W 0402"
"R1","604K","BottomLayer","RESC1005N","2445.000","2603.622","90","RES SMD 604K OHM 1% 1/16W 0402"
"L1","470nH","BottomLayer","IHLP-1212AE-11","2800.000","2505.000","270","FIXED IND 470NH 6.7A 15 MOHM SMD"
"C18","10uF","BottomLayer","CAPC2012N","2915.000","2505.000","270","CAP CER 10UF 10V X7R 0805"
"C17","4.7uF","BottomLayer","CAPC2012N","2565.000","2455.000","0","CAP CER 4.7UF 25V X5R 0805"
"C16","120pF","BottomLayer","CAPC1005N","2490.000","2603.307","90","CAP CER 120PF 50V C0G/NP0 0402"
"P3","DF12(3.0)-40DS-0.5V(86)","BottomLayer","DF12-40","1535.158","590.591","180","CONN RECEPT 40POS 3MM SMD 0.5MM"
"P2","DF12(3.0)-60DS-0.5V(86)","BottomLayer","DF12-60","1535.138","2165.394","180","CONN RECEPT 60POS 3MM SMD 0.5MM"
"P1","2-2013289-1","TopLayer","TE_2-2013289-1","1496.063","2009.842","270","CONN SKT SODIMM 204POS SMD"
"C15","4.7uF","TopLayer","CAPC1608N","498.031","2541.496","270","CAP CER 4.7UF 10V X5R 0603"
"C12","10uF","BottomLayer","CAPC2012N","315.000","1855.000","90","CAP CER 10UF 10V X7R 0805"
"C1","0.1uF","BottomLayer","CAPC1005N","249.606","1855.000","90","CAP CER 0.1UF 50V X7R 0402"
