Ref,Val,Package,PosX,PosY,Rot,Side
"C2","10uF 16V","C_0805_2012Metric",123.060460,-38.155880,0.000000,top
"C4","10uF 16V","C_0805_2012Metric",119.682500,-80.396080,0.000000,top
"C5","10uF","C_0603_1608Metric",123.288960,-23.423880,0.000000,top
"C6","10uF","C_0603_1608Metric",120.929400,-85.839300,270.000000,top
"C7","1uF","C_0603_1608Metric",62.349480,-29.789120,0.000000,top
"C8","10uF","C_0603_1608Metric",65.166240,-32.288580,270.000000,top
"C9","10uF 16V","C_0805_2012Metric",112.412780,-101.122480,180.000000,top
"C10","10uF 16V","C_0805_2012Metric",114.040920,-112.415320,270.000000,top
"C11","10uF 16V","C_0805_2012Metric",73.307180,-119.364760,0.000000,top
"C12","100nF","C_0603_1608Metric",68.183760,-112.359440,180.000000,top
"C13","10uF 16V","C_0805_2012Metric",68.331320,-114.216180,0.000000,top
"C14","100nF","C_0603_1608Metric",66.278760,-126.398120,90.000000,top
"C15","1uF","C_0603_1608Metric",105.227120,-111.086900,0.000000,top
"C16","10uF","C_0603_1608Metric",100.764927,-113.844082,90.000000,top
"C17","100nF","C_0603_1608Metric",93.409674,-102.687522,0.000000,top
"C18","100nF","C_0603_1608Metric",91.531440,-123.098560,90.000000,top
"C19","10uF","C_0603_1608Metric",93.094386,-123.098560,270.000000,top
"C20","100nF","C_0603_1608Metric",101.384100,-116.443760,180.000000,top
"C21","100nF","C_0603_1608Metric",100.909120,-123.098560,90.000000,top
"C22","100nF","C_0603_1608Metric",90.863420,-116.878100,0.000000,top
"C23","47uF","CP_Elec_5x5.4",105.714800,-124.157740,0.000000,top
"C24","100nF","C_0603_1608Metric",94.927950,-113.083352,270.000000,top
"C25","100nF","C_0603_1608Metric",97.783224,-123.098560,90.000000,top
"C26","10uF","C_0603_1608Metric",93.353150,-113.083352,90.000000,top
"C27","10uF","C_0603_1608Metric",99.346170,-123.098560,270.000000,top
"C28","100nF","C_0603_1608Metric",91.340940,-120.705880,0.000000,top
"C29","10uF","C_0603_1608Metric",91.344926,-119.104571,180.000000,top
"C30","100nF","C_0603_1608Metric",102.384100,-118.083520,180.000000,top
"C31","10uF","C_0603_1608Metric",102.384100,-119.655780,0.000000,top
"C32","100nF","C_0603_1608Metric",88.125300,-46.070620,90.000000,top
"C33","10uF","C_0603_1608Metric",86.527640,-46.070620,270.000000,top
"C34","10uF 16V","C_0805_2012Metric",133.093460,-76.461380,270.000000,top
"C35","10uF","C_0603_1608Metric",132.966460,-80.192880,270.000000,top
"C36","100nF","C_0603_1608Metric",66.349877,-37.881560,90.000000,top
"C37","100nF","C_0603_1608Metric",113.936780,-108.940500,270.000000,top
"C38","10uF 16V","C_0805_2012Metric",64.442340,-126.548120,270.000000,top
"C39","100nF","C_0603_1608Metric",82.219960,-16.941880,180.000000,top
"C51","100nF","C_0603_1608Metric",13.263880,-85.150860,270.000000,top
"C52","100nF","C_0603_1608Metric",13.263880,-105.844240,270.000000,top
"C53","22uF 16V","C_0805_2012Metric",11.432540,-85.003640,90.000000,top
"C54","2uF 16V","C_0805_2012Metric",11.432540,-105.694240,90.000000,top
"C59","10uF","C_0603_1608Metric",31.802780,-70.642480,180.000000,top
"C60","10uF","C_0603_1608Metric",32.084720,-60.746640,180.000000,top
"C61","100nF","C_0603_1608Metric",32.084720,-62.384940,0.000000,top
"C63","10uF","C_0603_1608Metric",82.262980,-15.176500,0.000000,top
"C64","100nF","C_0603_1608Metric",76.807060,-12.385040,180.000000,top
"C65","100nF","C_0603_1608Metric",100.992940,-16.012160,270.000000,top
"C66","10uF","C_0603_1608Metric",101.003100,-8.945880,270.000000,top
"C67","10uF","C_0603_1608Metric",106.004360,-11.399520,90.000000,top
"C68","10uF","C_0603_1608Metric",117.444520,-11.404600,90.000000,top
"C69","10uF 16V","C_0805_2012Metric",124.523554,-10.326951,0.000000,top
"C70","100nF","C_0603_1608Metric",124.376334,-8.386391,0.000000,top
"C71","100nF","C_0603_1608Metric",107.883860,-17.492980,180.000000,top
"C73","33nF","C_0603_1608Metric",125.434560,-58.217900,270.000000,top
"C74","33nF","C_0603_1608Metric",122.894560,-69.150300,90.000000,top
"C75","100nF","C_0603_1608Metric",119.063423,-70.265624,0.000000,top
"C76","10uF","C_0603_1608Metric",119.063423,-68.665424,180.000000,top
"C77","1uF","C_0603_1608Metric",116.941600,-60.281820,270.000000,top
"C80","100nF","C_0603_1608Metric",25.280620,-57.312560,270.000000,top
"C81","10uF","C_0603_1608Metric",23.624540,-57.322720,90.000000,top
"C82","100nF","C_0603_1608Metric",13.397656,-54.599840,0.000000,top
"C83","100nF","C_0603_1608Metric",13.397656,-56.250840,0.000000,top
"C84","0.01uF","C_0603_1608Metric",18.613822,-22.511061,270.000000,top
"C85","22pF","C_0603_1608Metric",17.736820,-18.224500,180.000000,top
"CA1","2.2nF","C_0603_1608Metric",96.220278,-123.098560,270.000000,top
"CA2","2.2nF","C_0603_1608Metric",94.657332,-123.098560,270.000000,top
"CA3","100pF","C_0603_1608Metric",123.780040,-105.968700,270.000000,top
"CA4","1uF","C_1210_3225Metric",125.359160,-109.903260,90.000000,top
"CA5","100pF","C_0603_1608Metric",117.939820,-107.723940,180.000000,top
"CA6","10uF","CP_Elec_4x5.7",108.917740,-106.138980,180.000000,top
"CA7","100pF","C_0603_1608Metric",124.572520,-118.851680,90.000000,top
"CA8","1uF","C_1210_3225Metric",125.359160,-114.922300,270.000000,top
"CA9","100pF","C_0603_1608Metric",116.664740,-117.137180,180.000000,top
"CA10","10uF","CP_Elec_4x5.7",108.920280,-118.691660,180.000000,top
"CA11","10uF","CP_Elec_4x5.7",81.876900,-107.635040,180.000000,top
"CA12","10uF","CP_Elec_4x5.7",81.932780,-122.019060,180.000000,top
"CA13","100pF","C_0603_1608Metric",77.457300,-110.022640,90.000000,top
"CA14","100pF","C_0603_1608Metric",77.513180,-124.406760,90.000000,top
"CA15","100pF","C_0603_1608Metric",66.154300,-108.752640,90.000000,top
"CA16","100pF","C_0603_1608Metric",66.210180,-123.136760,90.000000,top
"CA17","100uF","CP_Elec_6.3x7.7",58.742580,-109.534960,180.000000,top
"CA18","100uF","CP_Elec_6.3x7.7",58.742580,-123.929140,180.000000,top
"CA19","10uF","CP_Elec_4x5.7",31.795160,-75.064620,90.000000,top
"CA20","10uF","CP_Elec_4x5.7",36.791340,-75.062080,90.000000,top
"CA21","100uF","CP_Elec_6.3x7.7",24.592360,-72.704200,180.000000,top
"CA22","100uF","CP_Elec_6.3x7.7",24.632460,-63.941880,180.000000,top
"CA23","10uF","CP_Elec_4x5.7",64.068960,-103.530400,180.000000,top
"CA24","10uF","CP_Elec_4x5.7",64.076580,-117.909340,180.000000,top
"CA25","10uF","CP_Elec_4x5.7",32.636460,-93.041880,90.000000,top
"CA26","10uF","CP_Elec_4x5.7",27.556460,-93.041880,90.000000,top
"D1","MBR230","D_SOD-123F",139.954460,-7.167880,180.000000,top
"D2","MBR230","D_SOD-123F",136.991900,-16.929100,0.000000,top
"D3","BAT54S","SOT-23",109.601000,-114.272060,270.000000,top
"D4","BAT54S","SOT-23",109.601000,-110.660180,90.000000,top
"D5","BAT54S","SOT-23",128.971040,-109.735620,180.000000,top
"D6","BAT54S","SOT-23",128.951480,-113.367860,180.000000,top
"D7","1N4148","D_SOD-323",16.822420,-85.740240,0.000000,top
"D8","1N4148","D_SOD-323",16.807180,-106.405680,0.000000,top
"D9","PRTR5V0U2X","SOT-143",82.262980,-12.387580,180.000000,top
"D10","PRTR5V0U2X","SOT-143",96.144080,-18.237200,180.000000,top
"D11","1N4148","D_SOD-323",46.583600,-14.632940,90.000000,top
"D12","1N4148","D_SOD-323",60.391040,-18.699480,90.000000,top
"D13","1N4148WS-Diode","D_SOD-323",116.932460,-73.191880,90.000000,top
"D14","BAT54S","SOT-23",123.682460,-72.691880,90.000000,top
"D15","BAT54S","SOT-23",125.437100,-54.202920,270.000000,top
"D16","1N4148","D_SOD-323",124.056140,-99.161600,180.000000,top
"D17","1N4148","D_SOD-323",117.248940,-99.161600,180.000000,top
"D18","1N4148","D_SOD-323",124.805440,-122.275600,90.000000,top
"D19","1N4148","D_SOD-323",118.850120,-126.238000,180.000000,top
"D20","1N4148WS-Diode","D_SOD-323",119.182460,-73.141880,90.000000,top
"F1","Fuse 2A","Fuse_2920_0ZCF_Bel",134.687800,-12.242800,180.000000,top
"J3","CB Adapter","DF12(3.0)-40DP-0.5V(86)",75.684380,-83.489880,0.000000,top
"J4","CB Adapter","DF12(3.0)-60DP-0.5V(86)",75.684380,-43.489880,0.000000,top
"K1","G6S-2","Relay_DPDT_Omron_G6S-2F",16.441420,-94.554040,0.000000,top
"K2","G6S-2","Relay_DPDT_Omron_G6S-2F",16.451580,-115.244880,0.000000,top
"L1","1mH","L_Bourns_SRR1260",132.740400,-30.500320,270.000000,top
"Q1","2N7002","SOT-23",20.441920,-84.782660,270.000000,top
"Q2","2N7002","SOT-23",20.457160,-105.448100,270.000000,top
"Q3","2N7002","SOT-23",35.313620,-18.173700,90.000000,top
"Q4","2N7002","SOT-23",39.039800,-18.092420,180.000000,top
"Q5","BSS84","SOT-23",107.718860,-14.902180,90.000000,top
"Q6","BSS84","SOT-23",121.175780,-17.205960,90.000000,top
"Q7","BSS84","SOT-23",12.232460,-69.341880,180.000000,top
"Q8","J110","SOT-23",26.690320,-81.169000,270.000000,top
"Q9","2N7002","SOT-23",124.104400,-96.314260,0.000000,top
"Q10","J110","SOT-23",121.894600,-101.988620,90.000000,top
