"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MPN"
"1","22","C1, C4, C5, C9, C10, C31, C35, C42, C43, C44, C45, C47, C48, C50, C51, C52, C53, C54, C55, C57, C59, C60","100nF","bottom-board-rescue:C_Small","Capacitors_SMD:C_0603","","C1608X7R1E104K080AA"
"2","2","C2, C6","2200uF","bottom-board-rescue:CP_Small","Capacitors_ThroughHole:C_Radial_D10_L20_P5","","16PX2200MEFC10X20"
"3","8","C3, C7, C15, C18, C19, C30, C49, C58","10uF","bottom-board-rescue:C_Small","Capacitors_SMD:C_0805","","GRM219R61E106KA12D"
"4","15","C8, C23, C25, C34, C40, C41, C46, C56, CA9, CA10, CA11, CA12, CA17, CA18, CA23","10uF","bottom-board-rescue:CP_Small","Capacitors_SMD:c_elec_5x5.3","","UWX1E100MCL1GB"
"5","3","C11, C38, C39","100uF","bottom-board-rescue:CP_Small","Capacitors_SMD:c_elec_6.3x5.3","","UWX1C101MCL1GB"
"6","4","C12, C20, CA21, CA22","1uF","bottom-board-rescue:C_Small","Capacitors_SMD:C_0805","","C2012X7R1E105K125AB"
"7","9","C13, C14, C16, C17, C21, C22, C24, C26, C28","100nF","bottom-board-rescue:C_Small","Capacitors_SMD:C_0402","","C1005X7R1E104K050BB"
"8","2","C27, C29","47uF","bottom-board-rescue:CP_Small","Capacitors_SMD:c_elec_6.3x5.3","","UUD1E470MCL1GS"
"9","2","CA1, CA2","2.2nF","bottom-board-rescue:C_Small","Capacitors_SMD:C_0603","","GRM1885C1H222JA01D"
"10","4","CA3, CA4, CA7, CA8","100pF","bottom-board-rescue:C_Small","Capacitors_SMD:C_0603","","C1608C0G1H101J080AA"
"11","2","CA5, CA6","100nF","bottom-board-rescue:C_Small","Capacitors_SMD:C_1206","","C1206C104J3GACTU"
"12","2","CA13, CA14","33pF","bottom-board-rescue:C_Small","Capacitors_SMD:C_0603","","C1608C0G1H330J080AA"
"13","2","CA15, CA16","47pF","bottom-board-rescue:C_Small","Capacitors_SMD:C_0603","","C1608C0G1H470J080AA"
"14","2","CA19, CA20","100uF","bottom-board-rescue:CP_Small","Capacitors_SMD:c_elec_6.3x7.7","","UWT1E101MCL1GS"
"15","2","CA24, CA25","100uF","bottom-board-rescue:CP_Small","Capacitors_SMD:c_elec_5x5.3","","EEE-FT1C101AR"
"16","2","D1, D2","B130LB","bottom-board-rescue:D","Diodes_SMD:Diode-SMB_Standard","","B130LB-13-F"
"17","4","D3, D4, D7, D8","BAS70-04","bottom-board-rescue:D_Schottky_x2_Serial_AKC","Housings_SOT-23_SOT-143_TSOT-6:SOT-23","","BAS70-04-TP"
"18","8","D5, D6, D9, D10, D11, D12, D15, D16","1N4148","bottom-board-rescue:D_Small","Diodes_SMD:SOD-323","","1N4148WX-TP"
"19","2","D13, D14","PRTR5V0U2X","bottom-board-rescue:PRTR5V0U2X","Housings_SOT-23_SOT-143_TSOT-6:SOT-143","","PRTR5V0U2X,215"
