Altium Designer Pick and Place Locations
E:\Clients\MOD Devices GmbH\MOD DUO X\Project Outputs for mod_duo_x\Pick Place for duo_x(PRODUCTION).csv

========================================================================================================================
File Design Information:

Date:       12/03/19
Time:       16:23
Revision:   Not in VersionControl
Variant:    PRODUCTION
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C1","0.1uF","BottomLayer","CAPC1005N","55.8800","99.2779","315","CAP CER 0.1UF 50V X7R 0402"
"C2","39pF","BottomLayer","CAPC1608N","41.2750","101.9810","135","CAP CER 39PF 50V NP0 0603"
"C3","39pF","BottomLayer","CAPC1608N","35.6870","107.5690","135","CAP CER 39PF 50V NP0 0603"
"C4","0.1uF","BottomLayer","CAPC1608N","22.5285","101.5942","180","CAP CER 0.1UF 25V X7R 0603"
"C5","10uF","BottomLayer","CAPC1608N","19.5695","98.5842","270","CAP CER 10UF 10V X5R 0603"
"C6","0.1uF","BottomLayer","CAPC1608N","25.6540","103.1240","180","CAP CER 0.1UF 25V X7R 0603"
"C7","0.1uF","BottomLayer","CAPC1005N","46.7360","120.6500","315","CAP CER 0.1UF 50V X7R 0402"
"C8","0.1uF","BottomLayer","CAPC1005N","56.1340","128.3696","360","CAP CER 0.1UF 50V X7R 0402"
"C9","0.1uF","BottomLayer","CAPC1005N","56.1407","129.5400","360","CAP CER 0.1UF 50V X7R 0402"
"C10","0.1uF","BottomLayer","CAPC1005N","50.4663","123.4198","315","CAP CER 0.1UF 50V X7R 0402"
"C11","0.1uF","BottomLayer","CAPC1005N","83.8200","119.8880","135","CAP CER 0.1UF 50V X7R 0402"
"C12","0.1uF","BottomLayer","CAPC1005N","84.3280","107.3150","135","CAP CER 0.1UF 50V X7R 0402"
"C13","0.1uF","BottomLayer","CAPC1005N","81.1977","104.1977","135","CAP CER 0.1UF 50V X7R 0402"
"C14","0.1uF","BottomLayer","CAPC1005N","78.5029","101.7270","135","CAP CER 0.1UF 50V X7R 0402"
"C15","10uF","BottomLayer","CAPC1608N","45.7200","119.7610","315","CAP CER 10UF 10V X5R 0603"
"C18","10uF","BottomLayer","CAPC1608N","24.0030","91.0590","180","CAP CER 10UF 10V X5R 0603"
"C19","0.1uF","BottomLayer","CAPC1608N","24.0030","89.5350","180","CAP CER 0.1UF 25V X7R 0603"
"C20","0.33uF","BottomLayer","CAPC2012N","17.0180","90.5510","90","CAP CER 0.33UF 50V X7R 0805"
"C21","2.2uF","TopLayer","CAPC2012N","18.4150","82.1690","180","CAP CER 2.2UF 16V X7R 0805"
"C22","2.2uF","BottomLayer","CAPC2012N","20.7010","89.7890","180","CAP CER 2.2UF 16V X7R 0805"
"C23","10uF","BottomLayer","CAPC1608N","99.9490","89.5350","180","CAP CER 10UF 10V X5R 0603"
"C24","0.1uF","BottomLayer","CAPC1608N","99.9490","91.0590","180","CAP CER 0.1UF 25V X7R 0603"
"C25","0.33uF","BottomLayer","CAPC2012N","92.9213","90.5120","90","CAP CER 0.33UF 50V X7R 0805"
"C26","2.2uF","TopLayer","CAPC2012N","94.4880","82.1690","180","CAP CER 2.2UF 16V X7R 0805"
"C27","2.2uF","BottomLayer","CAPC2012N","96.6470","89.7890","180","CAP CER 2.2UF 16V X7R 0805"
"C28","0.1uF","TopLayer","CAPC1608N","64.5160","40.1320","180","CAP CER 0.1UF 25V X7R 0603"
"C29","100uF","TopLayer","CAPAE6553X55M","138.9380","69.6695","270","CAP ALUM 100UF 20% 10V SMD"
"C30","22uF","BottomLayer","CAPC2012N","133.0300","69.3380","360","CAP CER 22UF 6.3V X5R 0805"
"C31","10uF","BottomLayer","CAPC2012N","126.9340","69.3380","180","CAP CER 10UF 25V X5R 0805"
"C32","0.1uF","BottomLayer","CAPC1005N","72.9413","95.3337","135","CAP CER 0.1UF 50V X7R 0402"
"C33","0.1uF","BottomLayer","CAPC1005N","53.0860","100.7110","45","CAP CER 0.1UF 50V X7R 0402"
"C34","0.1uF","BottomLayer","CAPC1005N","72.2630","131.6990","180","CAP CER 0.1UF 50V X7R 0402"
"C35","0.1uF","BottomLayer","CAPC1005N","78.3740","128.0160","180","CAP CER 0.1UF 50V X7R 0402"
"C16A","0.01uF","TopLayer","CAPC1608N","103.9000","63.8880","360","CAP CER 10000PF 50V X7R 0603"
"C17A","0.01uF","TopLayer","CAPC1608N","103.9001","62.3640","180","CAP CER 10000PF 50V X7R 0603"
"C16B","0.01uF","TopLayer","CAPC1608N","27.9000","63.8880","360","CAP CER 10000PF 50V X7R 0603"
"C17B","0.01uF","TopLayer","CAPC1608N","27.9001","62.3642","180","CAP CER 10000PF 50V X7R 0603"
"D1","1N4148","BottomLayer","SOD-323","16.5215","98.5842","270","DIODE SWITCHING 75V 0.15A SOD323"
"D2","1N4148","BottomLayer","SOD-323","26.6815","100.0702","360","DIODE SWITCHING 75V 0.15A SOD323"
