Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Field4,Field5,Field6,Field7,Field8,MPN
1,14,"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C2, C3, C6, C9",100nF,top-board-rescue:C-RESCUE-top-board,Capacitors_SMD:C_0603,,,,,,,C1608X7R1E104K080AA
2,3,"C19, C20, C5",10uF,top-board-rescue:C-RESCUE-top-board,Capacitors_SMD:C_0805,,,,,,,GRM219R61E106KA12D
3,18,"C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38",1uF,top-board-rescue:C-RESCUE-top-board,Capacitors_SMD:C_0805,,,,,,,C2012X7R1E105K125AB
4,4,"C39, C40, C41, C42",0.01uF,top-board-rescue:C-RESCUE-top-board,Capacitors_SMD:C_0603,,,,,,,C1608X7R1E103K080AA
5,1,C4,100uF,device:CP,Capacitors_SMD:c_elec_6.3x5.3,,,,,,,UWX1C101MCL1GB
6,2,"C7, C8",39pF,top-board-rescue:C-RESCUE-top-board,Capacitors_SMD:C_0603,,,,,,,C1608C0G1H390J080AA
7,2,"D1, D3",1N4148,device:D,Diodes_SMD:SOD-323,,,,,,,1N4148WX-TP
8,4,"D6, D7, D8, D9",LED_RGB,top-board-cache:LED_RGB-RESCUE-top-board,LEDs:LED_RGB_PLLC-6,,,,,,,LTRBGFSF-ABCB-QKYO-Z
9,2,"E1, E2",PEC11R,local-components:PEC11R,footprints:PEC11R-4xxxF-Sxxxx,,,,,,,PEC11R-4020F-S0024
10,6,"FID1, FID2, FID3, FID4, FID5, FID6",FIDUCIAL,local-components:FIDUCIAL,footprints:fiducial_in-circuit,,,,,,,
11,2,"GLCD1, GLCD2",ERC12864-2,local-components:ERC12864-2,footprints:ER-CON30HB-1,,,,,,,ER-CON30HT-1
12,8,"H1, H2, H3, H4, H5, H6, H7, H8",HOLE,local-components:HOLE,footprints:Hole_3.5mm,,,,,,,
13,8,"J1, J2, J3, J4, J5, J6, J7, J8",Conn_01x03_Male,conn:Conn_01x03_Male,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,,,,,,,
14,1,P1,POWER_CONN,top-board-cache:CONN_01X02,footprints:S2B-XH-A,,,,,,,S2B-XH-A(LF)(SN)
15,1,P4,BOTTOM_CONN,top-board-cache:CONN_02X10,Pin_Headers:Pin_Header_Angled_2x10,,,,,,,68021-220HLF
16,2,"P5, P6",BACKLIGHT,top-board-cache:CONN_01X02,Pin_Headers:SMD_Pin_Header_Angled_2x01_Pitch2.00mm,,,,,,,ER-CON2.0-2P-SMD
17,1,Q1,2N7002,device:Q_NMOS_GSD,Housings_SOT-23_SOT-143_TSOT-6:SOT-23,,,,,,,"2N7002P,215"
18,2,"Q2, Q3",MMBT2222A,device:Q_NPN_BEC,Housings_SOT-23_SOT-143_TSOT-6:SOT-23,,,,,,,MMBT2222ALT1G
19,1,R1,160K,top-board-rescue:R-RESCUE-top-board,Resistors_SMD:R_0603,,,,,,,RMCF0603JT160K
20,22,"R10, R11, R12, R15, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R29, R3, R31, R47, R48, R8",10K,top-board-rescue:R-RESCUE-top-board,Resistors_SMD:R_0603,,,,,,,RMCF0603JT10K0
21,2,"R13, R14",3K3,top-board-rescue:R-RESCUE-top-board,Resistors_SMD:R_0603,,,,,,,RMCF0603JT3K30
22,7,"R16, R28, R30, R32, R49, R5, R7",220,top-board-rescue:R-RESCUE-top-board,Resistors_SMD:R_0603,,,,,,,RMCF0603JT10K0
23,12,"R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44",220R,top-board-rescue:R-RESCUE-top-board,Resistors_SMD:R_0603,,,,,,,RMCF0603JT220R
24,3,"R4, R6, R9",100K,top-board-rescue:R-RESCUE-top-board,Resistors_SMD:R_0603,,,,,,,RMCF0603JT100K
25,2,"R45, R46",120R,top-board-rescue:R-RESCUE-top-board,Resistors_SMD:R_2512,,,,,,,2-2176070-7
26,1,SW1,BT_RESET,top-board-cache:SW_PUSH,Buttons_Switches_SMD:SW_SPST_FSMSM,,,,,,,FSMSM
